RANK	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	52	56	72	73	74	75	76	77	78	79	80	81	82	83
MAX OR EQUAL	2	7	9999	9999	1	1	1	1	9999	2	9999	7	9999	9999	9	42	1	1	1	1	1	10	1	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	30	9999	9999	9999	1	2	2	1	1	1	9999	9999	9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9999	9999	9999	1	1	9999	1	1	1	1	1	1	1	1	1	1	100	1
initial_values															social change	basic																																																																						
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	4	2	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.409	0.385	0.653	0.314	0.204	0.401	0.5	0.5	0	1	1	0
/initial_values																																																																																						
scenario	8																																																																																					
scene	cyclop_enceinte_1	6000																																																																																				
Cyclop-enceinte_1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1	CE1
	line	circ	1-3Rd	blue to red	white				opaque	particle 	prtAcc	med noise	central	part	prey:predator	basic	uncleared	uncleared	uncleared	uncopied	uninverted	smallest	no echo	no echo	MusXY	hig color	MusRad	MusPrt	ReplayMus	XY	_Col_Rad	FlashTrack1	FlashTrack2	FlashCA0	FlashCA1	FlashCA2	backFlash	flashPart	flashPart_duration	penPrCoef	penHCoef	penVCoef	notrack synch	drawing track	video track	track0 decay sign	track1 decay sign	track2 decay sign	trckDcay0	trckDcay1	trckDcay2: video decay	wCA	w0	w1 	w2	w0	track_playon_off	track_playon_off	track_playon_off	source_track_rec-on_off	source_track_rec-on_off	source_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	disp_track	disp_track	disp_track	disp_track weight	disp_track weight	disp_track weight	with automatic beats	ca decay sign	CADcay1	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	with video	current BG subtraction	CA max speed	Mode 0 (basic)
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	3	3	0	0	0	0	0	0	0	0	0	3	0	0.2	0	0	0	9	0	0	9	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	1	0	1	0
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	3	3	0	0	0	0	0	0	0	0	0	3	0	0.2	0	0	0	9	0	0	9	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	1	0	1	0
	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	L 0.0 0.3	s
/scene																																																																																						
scene	cyclop_enceinte_2	6000																																																																																				
Cyclop-enceinte_2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2	CE2
	line	circ	1-3Rd	blue to red	white				opaque	particle 	prtAcc	med noise	central	part	prey:predator	basic	uncleared	uncleared	uncleared	uncopied	uninverted	smallest	no echo	no echo	MusXY	hig color	MusRad	MusPrt	ReplayMus	XY	_Col_Rad	FlashTrack1	FlashTrack2	FlashCA0	FlashCA1	FlashCA2	backFlash	flashPart	flashPart_duration	penPrCoef	penHCoef	penVCoef	notrack synch	drawing track	video track	track0 decay sign	track1 decay sign	track2 decay sign	trckDcay0	trckDcay1	trckDcay2: video decay	wCA	w0	w1 	w2	w0	track_playon_off	track_playon_off	track_playon_off	source_track_rec-on_off	source_track_rec-on_off	source_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	disp_track	disp_track	disp_track	disp_track weight	disp_track weight	disp_track weight	with automatic beats	ca decay sign	CADcay1	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	with video	current BG subtraction	CA max speed	Mode 0 (basic)
	0	0	1	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	3	3	0	0	0	0	0	0	0	0	0	3	0	0.2	0	0	0	9	9	0	9	9	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	1	0	1	0
	0	0	1	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	3	3	0	0	0	0	0	0	0	0	0	3	0	0.2	0	0	0	9	9	0	9	9	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	1	0	1	0
	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	L 0.0 0.3	s
/scene																																																																																						
scene	cyclop_enceinte_3	6000																																																																																				
Cyclop-enceinte_3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3	CE3
	line	circ	1-3Rd	blue to red	white				opaque	particle 	prtAcc	med noise	central	part	prey:predator	basic	uncleared	uncleared	uncleared	uncopied	uninverted	smallest	no echo	no echo	MusXY	hig color	MusRad	MusPrt	ReplayMus	XY	_Col_Rad	FlashTrack1	FlashTrack2	FlashCA0	FlashCA1	FlashCA2	backFlash	flashPart	flashPart_duration	penPrCoef	penHCoef	penVCoef	notrack synch	drawing track	video track	track0 decay sign	track1 decay sign	track2 decay sign	trckDcay0	trckDcay1	trckDcay2: video decay	wCA	w0	w1 	w2	w0	track_playon_off	track_playon_off	track_playon_off	source_track_rec-on_off	source_track_rec-on_off	source_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	disp_track	disp_track	disp_track	disp_track weight	disp_track weight	disp_track weight	with automatic beats	ca decay sign	CADcay1	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	Predatr's params	with video	current BG subtraction	CA max speed	Mode 0 (basic)
	0	0	1	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	3	3	0	0	0	0	0	0	0	0	0	3	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	1	0	1	0
	0	0	1	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	3	3	0	0	0	0	0	0	0	0	0	3	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	1	0	1	0
	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	L 0.0 0.3	s
/scene																																																																																						
scene	Predator-prey	6000																																																																																				
Predator-prey	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P	P-P
	line	circ	1-3Rd	blue to red	black				opaque	firewrok	prtAcc	med noise	central	part	GOL	X	uncleared	uncleared	uncleared	uncopied	uninverted	smallest	no echo	no echo	MusXY	medCol	MusRad	MusPrt	ReplayMus	XY	_Col_Rad	FlashTrack1	FlashTrack2	FlashCA0	FlashCA1	FlashCA2	backFlash	flashPart	flashPart_duration	penPrCoef	penHCoef	penVCoef	notrack synch	drawing track	video track	track0 decay sign	track1 decay sign	track2 decay sign	trckDcay0	trckDcay1	trckDcay2	wCA	w0	w1 	w2	w0	track_playon_off	track_playon_off	track_playon_off	source_track_rec-on_off	source_track_rec-on_off	source_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	disp_track	disp_track	disp_track	disp_track weight	disp_track weight	disp_track weight	with automatic beats	ca decay sign	CADcay1	black	black	black	black	black	black	black	black	wo video	initial BG subtraction	CA max speed	Mode 0 (basic)
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	0	1	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.37	0.692	0.787	0.228	0.346	0	0.57	0	0	1	1	0
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	0	1	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.37	0.692	0.787	0.228	0.346	0	0.57	0	0	1	1	0
	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
/scene																																																																																						
scene	Dislocation	6000																																																																																				
Dislocation	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl	Disl
	line	circ	1-3Rd	blue to red	black				opaque	firewrok	prtAcc	med noise	central	part	GOL	X	uncleared	uncleared	uncleared	uncopied	uninverted	smallest	no echo	no echo	MusXY	medCol	MusRad	MusPrt	ReplayMus	XY	_Col_Rad	FlashTrack1	FlashTrack2	FlashCA0	FlashCA1	FlashCA2	backFlash	flashPart	flashPart_duration	penPrCoef	penHCoef	penVCoef	notrack synch	drawing track	video track	track0 decay sign	track1 decay sign	track2 decay sign	trckDcay0	trckDcay1	trckDcay2	wCA	w0	w1 	w2	w0	track_playon_off	track_playon_off	track_playon_off	source_track_rec-on_off	source_track_rec-on_off	source_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	disp_track	disp_track	disp_track	disp_track weight	disp_track weight	disp_track weight	with automatic beats	ca decay sign	CADcay1	black	black	black	black	black	black	black	black	with video	current BG subtraction	half speed	Mode 0 (basic)
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	1	1	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.818	0.424	0.661	0.393	0.48	0.472	0	0	0	1	1	0
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	1	1	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.818	0.424	0.661	0.393	0.48	0.472	0	0	0	1	1	0
	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
/scene																																																																																						
scene	Protocells	6000																																																																																				
Protocells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells	Pcells
	line	circ	1-3Rd	blue to red	black				opaque	firewrok	prtAcc	med noise	central	part	GOL	X	uncleared	uncleared	uncleared	uncopied	uninverted	smallest	no echo	no echo	MusXY	medCol	MusRad	MusPrt	ReplayMus	XY	_Col_Rad	FlashTrack1	FlashTrack2	FlashCA0	FlashCA1	FlashCA2	backFlash	flashPart	flashPart_duration	penPrCoef	penHCoef	penVCoef	notrack synch	drawing track	video track	track0 decay sign	track1 decay sign	track2 decay sign	trckDcay0	trckDcay1	trckDcay2	wCA	w0	w1 	w2	w0	track_playon_off	track_playon_off	track_playon_off	source_track_rec-on_off	source_track_rec-on_off	source_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	target_track_rec-on_off	disp_track	disp_track	disp_track	disp_track weight	disp_track weight	disp_track weight	with automatic beats	ca decay sign	CADcay1	black	black	black	black	black	black	black	black	with video	current BG subtraction	CA max speed	Mode 0 (basic)
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	2	1	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.519	0.778	0.236	0.244	0.59	0	0	0	0	1	1	0
	0	0	3	3	1.0	1.0	1.0	1.0	1	1	0.01	4.3	0.5	0.5	2	1	0	0	0	0	0	0	0	0	0	1.87	0	0.2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0.01	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.519	0.778	0.236	0.244	0.59	0	0	0	0	1	1	0
	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
/scene																																																																																						
scene	Social_PD	6000																																																																																				
SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD	SPD
